ID,Suspected,Laboratory Detected Substances,Type,Date,State / Group,Location
18463,Methamphetamine,,Community Sample,04/2025,North Carolina,Marshall
18535,"Heroin, Fentanyl","Fentanyl (10)
Lidocaine (73)",Community Sample,04/2025,Rhode Island,Providence
18464,Methamphetamine,,Community Sample,04/2025,North Carolina,Marshall
18465,Methamphetamine,,Community Sample,04/2025,North Carolina,Marshall
18466,Methamphetamine,,Community Sample,04/2025,North Carolina,Marshall
18468,Methamphetamine,,Community Sample,04/2025,North Carolina,Marshall
18470,Alprazolam (Xanax),Bromazolam (Primary),Community Sample,04/2025,Michigan,Grand Rapids
18515,Crack (Rock),Fentanyl (10),Community Sample,04/2025,Rhode Island,Pawtucket
18467,Methamphetamine,,Community Sample,04/2025,North Carolina,Marshall
18421,Crack (Rock),Cocaine (10),Community Sample,04/2025,Massachusetts,Boston
18423,Alprazolam (Xanax),Bromazolam (10),Community Sample,04/2025,Massachusetts,Boston
18462,Methamphetamine,Methamphetamine (Major),Community Sample,04/2025,North Carolina,Marshall
18426,Cocaine (Powder),"Cocaine (10)
Norcocaine (trace)",Community Sample,04/2025,Massachusetts,Boston
18425,Fentanyl,Fentanyl (10),Community Sample,04/2025,Massachusetts,Boston
18309,Fentanyl,"Fentanyl (10)
Noscapine (26)",Community Sample,03/2025,Massachusetts,Boston
18308,Crack (Rock),Cocaine (10),Community Sample,03/2025,Massachusetts,Boston
18299,Fentanyl,"Fentanyl (10)
Lidocaine (143)
BTMPS (Tinuvin 770) (18)",Community Sample,03/2025,Massachusetts,Boston
18096,"M30 Pill (Percocet, Perc30, OC30)","Oxycodone (10)
Acetaminophen (268)",Community Sample,03/2025,Massachusetts,Ashburnham
18312,Crack (Rock),Cocaine (10),Community Sample,03/2025,Rhode Island,Providence
18298,Not sure - either fentanyl or cocaine,Cocaine (10),Community Sample,03/2025,Massachusetts,Boston
18283,Crack (Rock),"Cocaine (10)
Levamisole (1)",Community Sample,03/2025,Massachusetts,Boston
18282,Fentanyl,"Fentanyl (10)
Xylazine (15)
Procaine (14)",Community Sample,03/2025,Massachusetts,Boston
18281,Fentanyl,"Fentanyl (10)
4-ANPP (2)",Community Sample,03/2025,Massachusetts,Boston
